proof_system,base_field,limbs,m,n
limbo,p434,7,2380,2378
ligero,p434x,7,868,866
aurora,p434x,7,868,866
limbo,p434x,7,868,866
ligero,p441+,7,2380,2378
aurora,p441+,7,2380,2378
limbo,p441+,7,2380,2378
ligero,p441+x,7,868,866
aurora,p441+x,7,868,866
limbo,p441+x,7,868,866
limbo,p503,8,2754,2752
ligero,p503x,8,1004,1002
aurora,p503x,8,1004,1002
limbo,p503x,8,1004,1002
ligero,p509+,8,2754,2752
aurora,p509+,8,2754,2752
limbo,p509+,8,2754,2752
ligero,p509+x,8,1004,1002
aurora,p509+x,8,1004,1002
limbo,p509+x,8,1004,1002
limbo,p610,10,3359,3357
ligero,p610x,10,1224,1222
aurora,p610x,10,1224,1222
limbo,p610x,10,1224,1222
ligero,p619+,10,3359,3357
aurora,p619+,10,3359,3357
limbo,p619+,10,3359,3357
ligero,p619+x,10,1224,1222
aurora,p619+x,10,1224,1222
limbo,p619+x,10,1224,1222
limbo,p751,12,4096,4094
ligero,p751x,12,1492,1490
aurora,p751x,12,1492,1490
limbo,p751x,12,1492,1490
ligero,p761+,12,4096,4094
aurora,p761+,12,4096,4094
limbo,p761+,12,4096,4094
ligero,p761+x,12,1492,1490
aurora,p761+x,12,1492,1490
limbo,p761+x,12,1492,1490
